,Acidez,AcidoCitrico,Azucar,CloruroSodico,Densidad,pH,Sulfatos,Alcohol,CalifProductor,PrecioBotella,Etiqueta,Clasificacion,Region,prop_missings,aleatorio,aleatorio2,Acidez_ident,AcidoCitrico_raiz4,Azucar_ident,CloruroSodico_raiz4,Densidad_cuarta,pH_ident,Sulfatos_cuarta,Alcohol_exp,CalifProductor_ident,PrecioBotella_log,aleatorio_log,aleatorio2_raiz4,Compra
0,0.16,-0.81,26.1,-0.425,1.02792,3.38,0.7,12.6,2,1.0,M,***,1.0,7.6923076923076925,0.09220766870006636,0.7768571904196475,2.870957739031019,1.1474410747576158,3.681036149260282,1.1206833848512863,377.64491972877516,3.3430345407111774,111.78185663337462,35.7687524240342,1.5199758526451521,-9.210340371976182,-1.1418843803067937,1.2807585232559202,1
1,2.64,-0.88,14.8,0.037,0.99518,3.12,0.48,22.0,3,3.38,M,***,3.0,0.0,0.9874166170893861,0.6640000321463313,6.092553753871257,1.1334338892090663,3.3453252655908616,1.3205051312377254,96.37660815241736,2.9515196845918505,82.59996627600003,515.7444223249045,2.2799137789677286,0.47501387241310145,1.2292362636828555,1.2314614925668743,1
2,0.29,-0.4,21.5,0.06,0.99572,3.49,1.21,10.3,3,3.72,R,Desc,1.0,0.0,0.6410231909802223,0.08466705733397484,3.039831723679902,1.2206782506666838,3.5443750815718453,1.3283440683646084,98.9903068014855,3.508675441377047,208.65781231372105,18.61811168289647,2.2799137789677286,0.6085374915520423,0.7972058432374229,0.7356294963606916,0
3,-1.22,0.34,1.4,0.04,1.03236,3.2,1.38,11.6,2,6.23,B,***,2.0,7.6923076923076925,0.8333432645412786,0.45548971761762413,1.0782954404505636,1.3267819217758923,2.9472256336288942,1.3215355352624616,440.4760582989753,3.0719857941670283,251.84922822604216,26.92856976299221,1.5199758526451521,1.2622907741286253,1.0595884794256192,1.1206978550834055,1
4,0.27,1.05,11.25,-0.007,0.9962,4.93,0.26,15.0,1,2.44,R,Desc,2.0,0.0,0.40169416268429536,0.4776608369029861,3.013851110656997,1.4090395719701727,3.2398585720486985,1.3051076183914498,101.35790261294844,5.677065413730242,59.543105550407375,70.6970032005008,0.760037926322576,-0.02740290779494686,0.32982442167956216,1.1340971804691784,1
5,-0.22,0.39,1.8,-0.277,0.94724,3.09,0.75,12.6,3,4.31,R,****,2.0,0.0,0.9986047146363571,0.49240166998016976,2.377326091595821,1.333090893820581,2.9591092047322367,1.196002672248057,2.570496865072254,2.9063448935011587,119.37027068513045,35.7687524240342,2.2799137789677286,0.8048441013050315,1.2405033111236627,1.1427497700189009,1
6,0.22,0.49,10.4,-0.15,1.05918,3.01,-0.4,10.2,5,4.75,R,**,1.0,0.0,0.06152554811603561,0.4923728230298654,2.9488995780997342,1.3454467024700754,3.214605983454096,1.2508868360901675,1001.643238684576,2.785878783925981,18.263292301898424,18.09699976027821,3.7997896316128807,0.929646505235062,-1.5465147230894392,1.142733028382833,1
7,0.33,-1.06,3.0,0.518,0.96643,3.55,-0.86,3.9,2,1.24,B,**,1.0,0.0,0.3989923980323161,0.5023584556609738,3.0917929497257126,1.0948126703403607,2.9947599180422633,1.4616287877823035,16.438434214055498,3.5990250235584296,6.10677690182633,3.026052085754579,1.5199758526451521,-1.8186486181093864,0.3230756528560981,1.1484848517338875,1
8,0.32,0.34,1.3,0.042,0.95523,2.93,2.16,12.0,3,4.44,MB,***,3.0,0.0,0.8012935034633567,0.7019200358434639,3.07880264321426,1.3267819217758923,2.9442547408530584,1.322221134580733,6.1907351808288835,2.665412674350804,541.3002051641927,30.16681706382654,2.2799137789677286,0.8433656934600494,1.0203697901914197,1.248682113640984,1
9,0.51,1.83,2.9,-0.165,0.9974,5.26,2.23,12.1,4,2.55,R,Desc,1.0,0.0,0.10396374044175194,0.10946135063536544,3.325618466931859,1.4853681571116057,2.991789025266428,1.244774084179107,107.46268953245634,6.173988115727849,575.9319452768632,31.03548525455663,3.0398517052903045,0.046201615586196815,-1.021876526348683,0.7844842658270318,1
10,0.5,-0.11,6.1,0.071,0.9978,3.35,0.3,6.8,3,4.23,R,Desc,2.0,7.6923076923076925,0.29181136958569875,0.5840260572054872,3.3126281604204064,1.2654750476068983,3.0868575940931664,1.3320445771520808,109.55760690014986,3.297859749620486,63.32232738271262,6.893168005487012,2.2799137789677286,0.780379156661176,0.010234156977518644,1.1925700582667262,0
11,0.6,0.06,50.4,0.069,0.9964,3.3,0.46,3.9,4,4.77,B,Desc,3.0,0.0,0.7969792085429183,0.7496339682994931,3.442531225534932,1.289670660209751,4.402963093788327,1.3313740497636368,102.35683257262927,3.2225684311359997,80.2652093677872,3.026052085754579,3.0398517052903045,0.9349654573263229,1.0149710308442663,1.269385693819739,0
